
This hub-height turbulence-parameter file was generated by TurbSim (from OpenFAST-Unversioned from 08fffef240461a8334596179f1de462be43ad3e9) on 10-Oct-2023 at 13:34:45.

   Time      U       Uh       Ut        V        W        u'       v'       w'      u'w'     u'v'     v'w'     TKE      CTKE
  14.60   16.526   16.550   16.593    0.882   -1.205    1.526    0.882   -1.205   -1.838    1.346   -1.063    2.279    1.257
  14.70   16.804   16.812   16.814    0.503   -0.295    1.804    0.503   -0.295   -0.533    0.908   -0.149    1.797    0.532
  14.80   17.964   17.970   17.978    0.461   -0.534    2.964    0.461   -0.534   -1.583    1.367   -0.246    4.641    1.053
  14.90   17.969   17.974   18.030    0.449   -1.412    2.969    0.449   -1.412   -4.191    1.332   -0.633    5.504    2.221
  15.00   16.896   16.977   17.198    1.656   -2.748    1.896    1.656   -2.748   -5.211    3.141   -4.552    6.945    3.799
  15.10   16.164   16.317   16.438    2.235   -1.984    1.164    2.235   -1.984   -2.309    2.601   -4.435    5.144    2.818
  15.20   15.912   16.233   16.364    3.215   -2.068    0.912    3.215   -2.068   -1.885    2.931   -6.648    7.722    3.753
  15.30   15.828   16.152   16.269    3.219   -1.943    0.828    3.219   -1.943   -1.610    2.666   -6.256    7.412    3.494
  15.40   15.990   16.223   16.425    2.737   -2.571    0.990    2.737   -2.571   -2.546    2.710   -7.037    7.541    3.979
  15.50   16.088   16.381   16.537    3.082   -2.267    1.088    3.082   -2.267   -2.467    3.354   -6.986    7.911    4.067
  15.60   15.298   15.803   15.925    3.963   -1.968    0.298    3.963   -1.968   -0.586    1.181   -7.798    9.833    3.954
  15.70   16.093   16.469   16.603    3.499   -2.103    1.093    3.499   -2.103   -2.300    3.826   -7.359    8.931    4.304
  15.80   15.622   16.207   16.235    4.315   -0.953    0.622    4.315   -0.953   -0.593    2.684   -4.112    9.958    2.473
  15.90   14.891   15.275   15.291    3.407   -0.693   -0.109    3.407   -0.693    0.076   -0.373   -2.361    6.049    1.196
  16.00   14.824   15.273   15.322    3.676   -1.226   -0.176    3.676   -1.226    0.215   -0.646   -4.506    7.522    2.278
  16.10   14.798   15.242   15.344    3.652   -1.770   -0.202    3.652   -1.770    0.358   -0.739   -6.463    8.255    3.257
  16.20   15.147   15.844   15.907    4.645   -1.423    0.147    4.645   -1.423   -0.210    0.685   -6.609   11.811    3.324
  16.30   15.010   15.700   15.736    4.605   -1.054    0.010    4.605   -1.054   -0.011    0.046   -4.852   11.156    2.426
  16.40   15.758   16.595   16.619    5.202   -0.904    0.758    5.202   -0.904   -0.686    3.945   -4.704   14.226    3.089
  16.50   16.085   16.756   16.785    4.692   -0.989    1.085    4.692   -0.989   -1.073    5.093   -4.640   12.084    3.486
  16.60   16.197   16.761   16.769    4.310   -0.537    1.197    4.310   -0.537   -0.643    5.158   -2.314   10.148    2.845
  16.70   17.157   17.690   17.726    4.312   -1.122    2.157    4.312   -1.122   -2.419    9.298   -4.836   12.250    5.378
  16.80   17.486   17.912   17.955    3.885   -1.246    2.486    3.885   -1.246   -3.097    9.657   -4.841   11.412    5.619
  16.90   17.288   17.681   17.689    3.709   -0.542    2.288    3.709   -0.542   -1.241    8.485   -2.012    9.642    4.404
  17.00   16.869   17.095   17.105    2.773   -0.586    1.869    2.773   -0.586   -1.095    5.182   -1.625    5.762    2.770
  17.10   16.910   17.062   17.063    2.273   -0.090    1.910    2.273   -0.090   -0.171    4.342   -0.204    4.412    2.175
  17.20   16.353   16.488   16.491    2.106   -0.326    1.353    2.106   -0.326   -0.441    2.850   -0.687    3.186    1.482
  17.30   16.471   16.578   16.588    1.888    0.561    1.471    1.888    0.561    0.824    2.776    1.058    3.020    1.542
  17.40   16.406   16.493   16.496    1.692   -0.318    1.406    1.692   -0.318   -0.447    2.378   -0.538    2.469    1.239
  17.50   15.783   15.894   15.931    1.873   -1.078    0.783    1.873   -1.078   -0.845    1.467   -2.019    2.642    1.318
  17.60   15.353   15.395   15.417    1.136   -0.826    0.353    1.136   -0.826   -0.292    0.401   -0.938    1.049    0.531
  17.70   15.626   15.671   15.674    1.176   -0.328    0.626    1.176   -0.328   -0.205    0.737   -0.385    0.941    0.428
  17.80   16.167   16.183   16.231    0.729   -1.247    1.167    0.729   -1.247   -1.455    0.851   -0.909    1.724    0.958
  17.90   15.907   15.912   15.929    0.387   -0.738    0.907    0.387   -0.738   -0.669    0.351   -0.285    0.758    0.404
  18.00   15.940   15.947   15.951   -0.486   -0.344    0.940   -0.486   -0.344   -0.323   -0.457    0.167    0.619    0.292
  18.10   15.668   15.704   15.710   -1.049   -0.456    0.668   -1.049   -0.456   -0.305   -0.701    0.479    0.878    0.451
  18.20   15.387   15.460   15.525   -1.504   -1.424    0.387   -1.504   -1.424   -0.550   -0.581    2.141    2.219    1.143
  18.30   15.630   15.735   15.851   -1.807   -1.916    0.630   -1.807   -1.916   -1.208   -1.139    3.463    3.668    1.920
  18.40   16.231   16.263   16.314   -1.015   -1.297    1.231   -1.015   -1.297   -1.597   -1.249    1.316    2.114    1.209
  18.50   16.338   16.339   16.427    0.119   -1.699    1.338    0.119   -1.699   -2.274    0.159   -0.202    2.346    1.144
  18.60   17.109   17.177   17.214    1.535   -1.129    2.109    1.535   -1.129   -2.381    3.236   -1.733    4.039    2.188
  18.70   18.077   18.126   18.144    1.327   -0.809    3.077    1.327   -0.809   -2.488    4.084   -1.073    5.942    2.450
  18.80   17.831   17.862   17.869    1.059   -0.484    2.831    1.059   -0.484   -1.369    2.998   -0.512    4.685    1.668
  18.90   17.794   17.820   17.822    0.964   -0.252    2.794    0.964   -0.252   -0.704    2.692   -0.243    4.399    1.397
  19.00   16.644   16.674   16.676    1.001   -0.217    1.644    1.001   -0.217   -0.357    1.646   -0.217    1.876    0.849
  19.10   16.172   16.179   16.182    0.464    0.303    1.172    0.464    0.303    0.356    0.544    0.141    0.841    0.332
  19.20   14.999   15.011   15.015    0.601    0.347   -0.001    0.601    0.347   -0.001   -0.001    0.209    0.241    0.104
  19.30   14.300   14.301   14.304   -0.153    0.316   -0.700   -0.153    0.316   -0.221    0.107   -0.048    0.307    0.125
  19.40   14.999   14.999   15.015    0.040    0.696   -0.001    0.040    0.696   -0.001   -0.000    0.028    0.243    0.014
  19.50   15.761   15.804   15.828    1.158    0.873    0.761    1.158    0.873    0.665    0.882    1.011    1.341    0.749
  19.60   15.920   15.932   15.948    0.630    0.719    0.920    0.630    0.719    0.661    0.579    0.453    0.880    0.494
  19.70   16.178   16.261   16.267    1.637    0.439    1.178    1.637    0.439    0.517    1.928    0.718    2.130    1.061
  19.80   15.949   16.009   16.009    1.377   -0.092    0.949    1.377   -0.092   -0.088    1.307   -0.127    1.403    0.658
  19.90   17.126   17.183   17.183    1.405    0.037    2.126    1.405    0.037    0.078    2.986    0.052    3.247    1.494
  20.00   16.371   16.425   16.446    1.336   -0.825    1.371    1.336   -0.825   -1.130    1.831   -1.102    2.172    1.209
  20.10   15.073   15.129   15.161    1.302   -0.985    0.073    1.302   -0.985   -0.072    0.095   -1.282    1.335    0.644
  20.20   15.084   15.084   15.135    0.084   -1.242    0.084    0.084   -1.242   -0.104    0.007   -0.104    0.779    0.074
  20.30   14.330   14.343   14.395    0.605   -1.233   -0.670    0.605   -1.233    0.826   -0.405   -0.746    1.167    0.592
  20.40   14.745   14.757   14.788    0.597   -0.951   -0.255    0.597   -0.951    0.243   -0.152   -0.568    0.663    0.318
  20.50   14.920   14.970   15.030    1.218   -1.344   -0.080    1.218   -1.344    0.107   -0.097   -1.637    1.648    0.822
  20.60   15.154   15.162   15.198    0.479   -1.052    0.154    0.479   -1.052   -0.162    0.074   -0.504    0.680    0.267
  20.70   15.571   15.573   15.629    0.246   -1.328    0.571    0.246   -1.328   -0.758    0.140   -0.327    1.075    0.419
  20.80   14.717   14.719   15.013   -0.193   -2.958   -0.283   -0.193   -2.958    0.836    0.054    0.570    4.433    0.506
  20.90   15.027   15.027   15.279   -0.148   -2.762    0.027   -0.148   -2.762   -0.074   -0.004    0.409    3.827    0.208
  21.00   15.011   15.034   15.211   -0.828   -2.314    0.011   -0.828   -2.314   -0.026   -0.009    1.917    3.020    0.958
  21.10   14.561   14.686   14.897   -1.909   -2.500   -0.439   -1.909   -2.500    1.097    0.838    4.772    5.043    2.484
  21.20   14.649   14.724   14.967   -1.482   -2.687   -0.351   -1.482   -2.687    0.942    0.519    3.982    4.770    2.062
  21.30   13.155   13.184   13.548   -0.873   -3.121   -1.845   -0.873   -3.121    5.758    1.610    2.723    6.953    3.285
  21.40   11.917   11.931   12.192   -0.569   -2.510   -3.083   -0.569   -2.510    7.738    1.754    1.429    8.064    4.031
  21.50   13.249   13.304   13.562   -1.212   -2.632   -1.751   -1.212   -2.632    4.610    2.123    3.191    5.733    2.997
  21.60   12.977   13.036   13.239   -1.241   -2.307   -2.023   -1.241   -2.307    4.667    2.510    2.862    5.477    3.011
